,county,TOTAL DOLLAR AMOUNT OF CLAIMS
1023,Elkhart,41340732.7
1024,Knox,388237.54
1025,Jay,180880.98
1026,Jay,808292.82
1027,Hamilton,16543879.76
1028,LaPorte,1128971.48
1029,Lake,41506154.39
1030,Noble,20688941.97
1031,DeKalb,20688941.97
1032,Clark,73872316.37
1033,Floyd,73872316.37
1034,Warren,6904220.63
1035,Tippecanoe,6904220.63
1036,Fountain,6904220.63
1037,LaPorte,673169.53
1038,LaPorte,8667393.26
1039,St. Joseph,8667393.26
1040,Allen,15038994.37
1041,Adams,15038994.37
1042,Morgan,2769675.13
1043,Randolph,3132586.5
1044,Newton,1535326.95
1045,Vigo,1983387.15
1046,Sullivan,1983387.15
1047,Lake,10540908.59
1048,Elkhart,20360350.8
1049,Jasper,4403509.45
1050,Pike,2210280.42
1051,Washington,27007610.27
1052,Scott,27007610.27
1053,Tipton,1220489.85
1054,Howard,1220489.85
1055,Clinton,853014.79
1056,Allen,42046245.28
1057,Hancock,521617.31
1058,Henry,521617.31
1059,Carroll,511939.29
1060,Allen,23336761.24
1061,Whitley,23336761.24
1062,Blackford,1273262.46
1063,Jay,1273262.46
1064,Martin,133857.24
1065,Wells,444082.64
1066,Lake,21793237.54
1067,DeKalb,3421040.34
1068,St. Joseph,16061633.58
1069,Vanderburgh,1409056.27
1070,Warrick,1409056.27
1071,Gibson,1409056.27
1072,Elkhart,26159762.47
1073,Noble,820986.62
1074,Whitley,820986.62
1075,Delaware,35109326.19
1076,Pike,11895540.77
1077,Ripley,5801754.45
